,altitude,ac,solrad,lat,longitude
284,101.0,3566.763292134526,3.188986407306761,-27.4827,-56.725
285,1361.0,4904.959255219694,4.104519273132335,40.1805,44.1498
286,1361.0,4904.959255219694,4.104519273132335,40.564,44.7479
287,1361.0,4904.959255219694,4.104519273132335,40.1152,44.4973
288,1361.0,4904.959255219694,4.104519273132335,40.5078,44.7606
289,1361.0,4904.959255219694,4.104519273132335,39.4743,46.1306
290,1361.0,4904.959255219694,4.104519273132335,39.6494,45.85
291,1361.0,4904.959255219694,4.104519273132335,39.3956,46.2578
292,1361.0,4904.959255219694,4.104519273132335,39.3956,-119.7468
293,1361.0,4904.959255219694,4.104519273132335,40.1138,44.5038
294,51.0,3321.996683444321,2.916697768635013,-34.9453,138.5882
295,69.0,3052.979180891866,2.621188887388082,-35.0641,117.7977
296,701.0,3473.398903761286,2.932511068971167,-34.5509,138.7659
297,701.0,3473.398903761286,2.932511068971167,-34.5034,139.0246
298,436.0,3190.447871747338,2.733055692742302,-38.3861,144.1828
299,377.0,4179.679849786979,3.834736626609134,-13.8584,136.4209
300,20.0,3119.728432808294,2.772559216840632,-34.2082,150.7722
301,436.0,3190.447871747338,2.733055692742302,-37.2385,143.0794
302,16.0,4376.691700188898,4.156311902371391,-16.7162,128.4031
303,8.0,3088.671872272063,2.65590746422723,-37.8429,147.5639
304,436.0,3190.447871747338,2.733055692742302,-37.5596,143.8469
305,213.0,3262.512359005302,2.875886886275691,-36.5344,147.4594
306,5.0,2959.668481730226,2.592347944324681,-33.9197,151.0332
307,53.0,3332.836655347189,2.940329513946369,-34.6899,142.7452
308,192.0,3966.51696741494,3.676647369195466,-23.5525,145.3142
309,192.0,3966.51696741494,3.676647369195466,-23.549,145.318
310,192.0,3966.51696741494,3.676647369195466,-23.5388,145.2732
311,8.0,4185.740881124675,3.714898593173233,-16.8502,145.6465
312,4.0,2895.143035566626,2.488338695175443,-41.736,145.5321
313,20.0,3119.728432808294,2.772559216840632,-32.3953,150.9491
314,577.0,3346.146092415394,2.906242446695991,-35.2142,148.9872
315,4.0,2895.143035566626,2.488338695175443,-41.1429,146.903
316,105.0,3031.900797818516,2.646870722729772,-34.7337,150.4669
317,35.0,4312.508860254687,3.896302944338919,-12.4262,130.9195
318,13.0,3073.187334841311,2.621943973552499,-38.1197,145.2665
319,948.0,3460.887707250895,2.953951160942544,-32.353,149.468
320,9.0,4410.93081884376,4.002097963878174,-18.6816,121.7848
321,948.0,3460.887707250895,2.953951160942544,-33.6219,149.1982
322,1483.0,3387.401333528381,2.85803146992274,-35.3986,148.2463
323,69.0,3029.04075809585,2.595945118411088,-36.3164,140.7575
324,13.0,3073.187334841311,2.621943973552499,-40.7207,144.6869
325,577.0,3346.146092415394,2.906242446695991,-36.5763,149.1267
326,948.0,3460.887707250895,2.953951160942544,-32.4146,149.0998
327,8.0,3088.671872272063,2.65590746422723,-36.8055,147.228
328,407.0,3536.122191729276,3.143425392571506,-27.1109,150.9053
329,407.0,3536.122191729276,3.143425392571506,-27.1128,150.9049
330,69.0,3052.979180891866,2.621188887388082,-34.4018,119.3888
331,547.0,4001.275427628731,3.663122937978514,-23.8817,133.8281
332,5.0,3579.673154563544,3.145408064434887,-27.404,153.11
333,119.0,2929.027666332287,2.532416656640342,-37.6878,144.9663
