,year,latitude,longitude,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,sun hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
3682,2017,42.29311,-4.855132,19.731318681318687,7.460439560439556,367.0,362.3,3.5700000000000003,618.0,0 days 12:16:30.329670329,18.64835164835165,37.20054945054944,157.77624309392266,6123.68,1271.54
3683,2017,42.02964,-4.503937,20.206043956043953,7.961263736263729,305.0,304.1,0.84,577.0,0 days 12:16:24.230769230,17.79038461538461,37.38516483516483,156.82142857142858,6174.780000000001,1301.72
3684,2017,42.52399,-4.765412,18.901098901098912,7.335989010989008,448.1,433.4,10.99,768.0,0 days 12:16:35.439560439,17.167307692307695,35.117032967032955,161.9889502762431,5908.4,1190.28
3685,2017,42.01508,-4.663723,20.244230769230768,8.131318681318676,278.40000000000003,277.90000000000003,0.42000000000000004,519.0,0 days 12:16:23.571428571,18.740659340659356,37.1370879120879,161.4792243767313,6205.65,1320.3000000000002
3686,2017,42.04987,-4.361402,20.150824175824184,7.719230769230771,338.29999999999995,335.9,2.1000000000000005,624.0,0 days 12:16:23.571428571,17.318681318681328,37.637637362637356,151.1510989010989,6141.02,1289.03
3687,2017,42.52761,-4.476349,18.723076923076903,6.975000000000002,407.7,395.1,9.66,775.0,0 days 12:16:36.098901098,17.553846153846166,36.87747252747252,151.18105849582173,5871.04,1160.76
3688,2017,42.40274,-4.698733,19.25631868131868,7.685439560439558,448.1,433.4,10.99,768.0,0 days 12:16:30.824175824,17.167307692307695,35.117032967032955,161.9889502762431,5908.4,1201.71
3689,2017,42.25888,-4.688044,19.682967032967028,7.409890109890102,367.0,362.3,3.5700000000000003,618.0,0 days 12:16:27.527472527,18.64835164835165,37.20054945054944,157.77624309392266,6123.68,1269.8600000000001
3690,2017,41.94826,-4.515538,20.458516483516487,8.210989010989021,305.0,304.1,0.84,577.0,0 days 12:16:22.747252747,17.79038461538461,37.38516483516483,156.82142857142858,6174.780000000001,1308.67
3691,2017,42.24105,-4.742416,19.682967032967028,7.409890109890102,367.0,362.3,3.5700000000000003,618.0,0 days 12:16:28.516483516,18.64835164835165,37.20054945054944,157.77624309392266,6123.68,1269.6599999999999
3692,2017,42.5089,-4.517657,18.923076923076934,7.175,407.7,395.1,9.66,775.0,0 days 12:16:34.615384615,17.553846153846166,36.87747252747252,151.18105849582173,5871.04,1167.24
3693,2017,42.51569,-4.395741,18.923076923076934,7.175,407.7,395.1,9.66,775.0,0 days 12:16:34.285714285,17.553846153846166,36.87747252747252,151.18105849582173,5871.04,1167.24
3694,2017,42.29745,-4.500002,19.747802197802187,7.492857142857149,358.6,354.5,3.01,580.0,0 days 12:16:29.010989010,18.212637362637363,37.599450549450566,144.7403314917127,6083.8,1250.81
3695,2017,42.42107,-4.784336,19.001098901098896,7.4359890109890125,448.1,433.4,10.99,768.0,0 days 12:16:33.461538461,17.167307692307695,35.117032967032955,161.9889502762431,5908.4,1193.05
3696,2017,42.04258,-4.913169,20.09560439560439,8.033516483516477,284.2,283.09999999999997,0.8400000000000001,499.0,0 days 12:16:25.714285714,19.987087912087908,36.007967032967045,165.78055555555557,6236.1900000000005,1332.15
3697,2017,42.4122,-4.49662,19.123076923076923,7.374999999999994,407.7,395.1,9.66,775.0,0 days 12:16:31.318681318,17.553846153846166,36.87747252747252,151.18105849582173,5871.04,1172.48
3698,2017,42.53239,-4.557374,18.973076923076924,7.225824175824169,407.7,395.1,9.66,775.0,0 days 12:16:33.626373626,17.553846153846166,36.87747252747252,151.18105849582173,5871.04,1168.3000000000002
3699,2017,42.3765,-4.671304,19.35631868131868,7.7854395604395545,448.1,433.4,10.99,768.0,0 days 12:16:32.802197802,17.167307692307695,35.117032967032955,161.9889502762431,5908.4,1203.8700000000001
3700,2017,42.08917,-4.613097,20.206043956043953,7.961263736263729,305.0,304.1,0.84,577.0,0 days 12:16:24.725274725,17.79038461538461,37.38516483516483,156.82142857142858,6174.780000000001,1301.72
3701,2017,41.96166,-4.342499,20.250824175824178,7.819230769230769,338.29999999999995,335.9,2.1000000000000005,624.0,0 days 12:16:22.087912087,17.318681318681328,37.637637362637356,151.1510989010989,6141.02,1292.54
3702,2017,41.94452,-4.855737,20.244230769230768,8.131318681318676,278.40000000000003,277.90000000000003,0.42000000000000004,519.0,0 days 12:16:22.252747252,18.740659340659356,37.1370879120879,161.4792243767313,6205.65,1319.1799999999998
3703,2017,42.21174,-4.24537,19.775000000000002,7.642857142857147,357.5,353.9,2.8,647.0,0 days 12:16:27.527472527,18.306593406593407,38.63543956043955,138.53185595567868,6038.5599999999995,1244.2
3704,2017,42.14453,-4.094779,19.76291208791208,7.81758241758241,362.5,357.4,3.99,721.0,0 days 12:16:26.868131868,18.927197802197796,39.565109890109895,137.4313186813187,5989.65,1244.77
3705,2017,42.24501,-4.595861,19.747802197802187,7.492857142857149,358.6,354.5,3.01,580.0,0 days 12:16:28.516483516,18.212637362637363,37.599450549450566,144.7403314917127,6083.8,1250.81
3706,2017,42.55193,-4.848131,17.46813186813185,6.548351648351654,479.29999999999995,428.4,38.5,977.0,0 days 12:16:35.109890109,14.732417582417579,36.187637362637375,158.60833333333332,5569.24,1015.99
3707,2017,42.29512,-4.482055,19.747802197802187,7.492857142857149,358.6,354.5,3.01,580.0,0 days 12:16:29.340659340,18.212637362637363,37.599450549450566,144.7403314917127,6083.8,1251.1699999999998
3708,2017,40.7098,-6.140146,19.424725274725276,7.966758241758243,350.20000000000005,345.9,3.0799999999999996,667.0,0 days 12:15:55.879120879,15.482142857142854,35.56126373626378,184.18956043956044,6462.460000000001,1274.35
3709,2017,40.44866,-6.442052,19.675000000000008,8.654395604395601,449.4,447.2,1.5400000000000003,716.0,0 days 12:15:47.307692307,15.103571428571431,35.43873626373624,194.53462603878117,6482.99,1279.0900000000001
3710,2017,40.87508,-6.747851,20.432417582417578,8.776923076923074,321.9,321.8,0.14,559.0,0 days 12:16:00.659340659,14.020604395604396,33.859340659340624,188.07734806629836,6362.28,1261.6100000000001
3711,2017,41.15826,-6.380927,19.535989010989006,8.239285714285716,396.7,396.2,0.35000000000000003,635.0,0 days 12:16:08.736263736,15.19175824175824,35.243956043956054,178.11845730027548,6348.460000000001,1252.85
3712,2017,40.65081,-6.758546,20.03873626373627,8.622802197802203,327.1,326.3,0.77,583.0,0 days 12:15:53.076923076,14.604670329670318,34.1315934065934,190.04696132596686,6419.120000000001,1263.33
3713,2017,40.47208,-6.826958,19.793406593406587,8.822802197802194,412.9,411.69999999999993,1.05,678.0,0 days 12:15:53.736263736,15.759890109890108,36.156043956043966,189.16666666666666,6470.39,1284.21
3714,2017,40.74753,-5.288013,19.751098901098896,7.8697802197802185,276.7,270.4,4.9,593.0,0 days 12:15:56.043956043,14.30824175824176,32.854670329670334,178.10306406685237,6501.379999999999,1290.66
3715,2017,40.82463,-5.515934,20.404120879120885,8.00989010989011,239.5,237.1,1.96,505.0,0 days 12:15:59.340659340,15.456318681318677,33.837912087912095,179.7465564738292,6454.87,1333.8200000000002
3716,2017,40.671,-6.318453,19.77774725274725,8.31538461538462,350.20000000000005,345.9,3.0799999999999996,667.0,0 days 12:15:53.406593406,15.482142857142854,35.56126373626378,184.18956043956044,6462.460000000001,1286.56
3717,2017,40.48907,-6.111216,18.166208791208792,7.483791208791208,481.69999999999993,462.7,13.859999999999998,816.0,0 days 12:15:50.604395604,12.930769230769235,35.77527472527472,174.59722222222223,6526.91,1218.81
