,Unnamed: 0,latitude,longitude,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,sun hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,altitude,solrad,City,production prediction
84,84,37.04945,-2.392681,23.06401098901096,13.571703296703296,202.0,201.5,0.35,362.0,734.7666666666667,14.055219780219764,37.7118131868132,148.75069252077563,6989.03,1430.64,21.0,5.615388717961149," Tabernas, Almería, Andalucía, 04200, España",27.9199
85,85,37.46729,-2.076205,22.21016483516484,10.827472527472525,286.9,263.3,16.52,459.0,734.85,15.169505494505495,35.227747252747285,192.1030640668524,6834.15,1374.78,21.0,5.615388717961149," Taberno, Valle del Almanzora, Almería, Andalucía, España",33.75601
86,86,37.22803,-2.28497,21.67719780219781,9.225,261.9,217.4,31.430000000000003,466.0,734.8333333333334,13.79450549450548,37.07747252747252,191.53591160220995,6945.81,1387.82,21.0,5.615388717961149," Benitorafe, Tahal, Almería, Andalucía, España",65.7711
87,87,36.98359,-2.597233,23.91346153846153,14.420329670329668,202.0,201.5,0.35,362.0,734.75,14.055219780219764,37.7118131868132,148.75069252077563,6989.03,1457.94,21.0,5.615388717961149,"Plaza de la Constitución, Terque, Almería, Andalucía, España",30.002525
88,88,37.34551,-2.439434,22.4131868131868,12.307142857142868,211.0,198.3,8.89,431.0,734.8333333333334,11.296428571428564,37.53104395604394,164.4776536312849,7009.35,1393.08,21.0,5.615388717961149," Valle del Almanzora, Almería, Andalucía, 04880, España",36.181213
89,89,37.13334,-2.7,22.313186813186807,12.207142857142845,211.0,198.3,8.89,431.0,734.75,11.296428571428564,37.53104395604394,164.4776536312849,7009.35,1389.9,21.0,5.615388717961149,"Las Tres Villas, Almería, Andalucía, España",58.031586
90,90,37.15225,-1.894899,23.945329670329688,16.082142857142838,203.7,203.6,0.07,335.0,734.75,17.98186813186813,38.89478021978022,129.26098901098902,6922.57,1455.71,21.0,5.615388717961149," Turre, Almería, Andalucía, 04639, España",38.211227
91,91,37.03019,-2.264096,21.2543956043956,10.692032967032969,344.8,310.70000000000005,23.94,578.0,734.75,13.066483516483515,37.88956043956044,180.99166666666667,6936.52,1345.67,21.0,5.615388717961149," Calle Alcalde Juan Verdejo, Turrillas, Almería, Andalucía, España",39.86842
92,92,37.18548,-2.203801,22.659615384615385,11.278571428571423,286.9,263.3,16.52,459.0,734.8166666666667,15.169505494505495,35.227747252747285,192.1030640668524,6834.15,1389.14,21.0,5.615388717961149," Uleila del Campo, Almería, Andalucía, 04279, España",80.02179
93,93,37.39732,-2.36507,22.01016483516484,10.627472527472529,286.9,263.3,16.52,459.0,734.8166666666667,15.169505494505495,35.227747252747285,192.1030640668524,6834.15,1369.6999999999998,21.0,5.615388717961149," Urrácal, Valle del Almanzora, Almería, Andalucía, España",43.39141
94,94,37.19375,-2.403687,22.73763736263736,9.297527472527474,226.2,192.9,23.59,427.0,734.75,14.073626373626372,35.4884615384615,197.40495867768595,6972.42,1456.37,21.0,5.615388717961149," Velefique, Almería, Andalucía, 04212, España",68.71231
95,95,37.69095,-2.095682,20.833516483516483,8.532142857142862,264.4,222.0,29.89,468.0,735.0,14.161813186813191,36.98406593406595,191.3,6889.96,1353.25,21.0,5.615388717961149," Los Vélez, Almería, Andalucía, 04830, España",41.701374
